"","mod","A","B","sigma"
"502","HSL",4.695,2710,7.27200611779588
"503","RKL",8.689,0.0002944,6.61975901867895
"504","HSL",7.978,2233,11.7435945151498
"505","RKL",18.22,0.0003628,8.39181358296689
"506","HSL",5.846,2013,7.26432712292148
"507","RKL",7.862,0.0002262,5.04304966752612
"508","HSL",4.443,2843,5.94438298277764
"509","RKL",2.754,4.62e-05,7.8518966584133
"510","HSL",2.154,3051,6.90065559342354
"511","RKL",31.89,0.0005386,8.54669637883346
"512","HSL",7.296,1939,7.1156806696482
"513","RKL",10.85,0.0002296,7.37009533648484
"514","HSL",6.049,2037,6.55262411422401
"515","RKL",10.67,0.0003984,6.21010211665374
"516","HSL",5.004,2387,9.05357460425185
"517","RKL",20.21,0.0004434,9.11731975607399
"518","HSL",3.393,3138,5.29924517628313
"519","RKL",14.24,0.0004922,7.67868896042439
"520","HSL",5.504,2018,5.58232531066616
"521","RKL",12.98,0.0003273,7.32252025938212
"522","HSL",5.479,1953,6.63577165322388
"523","RKL",16.14,0.0004408,8.72705347182405
"524","HSL",4.887,2407,6.70250921888886
"525","RKL",9.553,0.0002368,6.63285162155192
"526","HSL",6.628,1878,9.22924025252575
"527","RKL",15.7,0.0003519,8.99114807657189
"528","HSL",6.496,2277,7.07814950398772
"529","RKL",23.6,0.000532,5.25878952389589
"530","RKL",7.538,0.0002242,6.88102353203975
"531","HSL",3.761,2740,5.80063578452488
"532","RKL",9.27,0.0002616,6.24756002333079
"533","HSL",7.399,1891,8.89460083706025
"534","RKL",12.7,0.0003125,5.2566094134489
"535","HSL",4,2811,7.46185548674875
"536","RKL",11.02,0.0004266,8.96942154926387
"537","HSL",3.783,2539,7.42678921300052
"538","RKL",10.64,0.0002635,6.31950173956948
"539","HSL",5.876,2124,6.30190913746041
"540","RKL",9.47,0.0003062,6.19103074074176
"541","HSL",2.307,3674,7.37410191211999
"542","RKL",5.35,0.000151,7.86645969409441
"543","HSL",6.427,2024,8.89460083706025
"544","RKL",8.294,0.0002375,4.20368488375058
"545","HSL",3.983,2408,6.75583153274027
"546","RKL",5.847,0.0001941,5.51234078608742
"547","HSL",4.149,2407,6.32076399899275
"548","RKL",8.996,0.000322,5.83708405417779
"549","HSL",5.444,2162,7.77087340200262
"550","RKL",19.13,0.0004713,5.01948834947362
"551","HSL",5.267,2608,9.11353270720612
"552","RKL",6.51,0.0002454,5.91209046797349
"553","HSL",3.435,3251,4.60189821431612
"554","RKL",12.26,0.0003438,6.55966919110482
"555","HSL",4.778,2219,7.17958158617738
"556","RKL",11.6,0.0003319,6.08242800595706
"557","HSL",5.294,2004,5.56328771734271
"558","RKL",8.953,0.0002358,9.28877155295032
"559","HSL",8.083,1923,7.97325472097299
"560","RKL",8.934,0.000247,5.8956279495074
"561","HSL",3.98,2024,5.48161262066893
"562","RKL",9.603,0.0003263,5.65233418944221
"563","HSL",8.731,2068,10.1503228615292
"564","RKL",15.48,0.0004656,7.1265139882828
"565","HSL",3.318,3216,6.05005959338049
"566","RKL",13.64,0.0004087,6.26962328219399
"567","HSL",2.705,4013,5.71102320433419
"568","RKL",8.894,0.0002576,5.40106735637485
"569","HSL",3.854,2686,5.28664114752403
"570","RKL",29.58,0.0009152,13.4026102785132
"571","HSL",4.499,2888,6.16509220041393
"572","RKL",10.57,0.0002955,6.96733014291618
"573","HSL",4.771,2324,5.57278212575353
"574","RKL",8.502,0.000241,5.44815549867895
"575","HSL",4.98,2476,6.72216693055187
"576","RKL",7.229,0.0002284,7.10669054518701
"577","HSL",4.576,2618,6.16626415978207
"578","RKL",18.06,0.0004002,6.41632335799367
"579","HSL",6.151,2820,9.05728736823989
"580","RKL",15.93,0.000418,6.6313930505345
"581","HSL",3.3,4062,6.18156070729634
"582","RKL",10.57,0.0002762,5.73539334676404
"583","HSL",4.338,3624,6.37058989297032
"584","RKL",8.401,0.0002493,6.17213399848368
"585","HSL",5.433,2358,8.20886379128898
"586","RKL",11.65,0.0002873,5.53763849028308
"587","HSL",3.253,2368,7.42474185549421
"588","RKL",13.19,0.000341,5.62366014684256
"589","HSL",2.712,2561,7.8860037234564
"590","RKL",6.198,0.0002322,6.60962931263943
"591","HSL",5.26,2265,5.62099427319343
"592","RKL",10.61,0.000254,6.69199547246508
"593","HSL",6.031,1952,5.93286386461409
"594","RKL",14.59,0.0004739,10.8522697318281
"595","HSL",4.478,2300,8.36242010007091
"596","RKL",3.817,9.81e-05,8.40959914919081
"597","HSL",6.064,2214,6.81044706603994
"598","RKL",9.51,0.0003123,7.47643961022815
"599","HSL",5.438,2280,5.48986682293609
"600","RKL",12.37,0.0003161,5.0852570897639
"601","HSL",4.248,2005,6.67557337293191
"602","RKL",10.94,0.0003765,5.77254068194342
"603","HSL",6.063,1877,5.88744809409464
"604","RKL",18.41,0.0003928,5.65685424949238
"605","HSL",5.316,2071,6.31446025353402
"606","RKL",16.1,0.0003557,5.96975030847566
"607","HSL",5.466,1960,5.40185531572785
"608","RKL",5.686,0.0001722,6.02803527713015
"609","HSL",5.213,1934,7.23007021516784
"610","RKL",13.16,0.0003848,7.62271293369326
"611","HSL",8.09,2081,8.87706068818846
"612","RKL",5.763,0.0001124,9.36996865282231
"613","HSL",5.072,1806,7.95305644984183
"614","RKL",9.694,0.0002747,9.96518268464914
"615","HSL",4.252,2930,5.90384199452107
"616","RKL",12.6,0.000295,5.68053463163406
"617","HSL",2.389,3676,7.59846830316956
"618","RKL",10.81,0.0002758,7.14285714285714
"619","HSL",5.474,1940,6.42426271762962
"620","RKL",9.555,0.0002784,7.7289815960028
"621","HSL",3.036,2418,7.61607775506722
"622","RKL",7.992,0.000267,4.70308411802192
"623","HSL",4.233,2751,6.74660014851561
"624","RKL",13.77,0.0003641,6.93541982147066
"625","HSL",3.309,3009,4.58349248514106
"626","RKL",11.53,0.000346,6.05893716175558
"627","HSL",4.989,2453,6.83107281200758
"628","RKL",6.15,0.0002054,4.74739409913238
"629","HSL",5.012,2277,9.79169429084317
"630","RKL",12.03,0.0003181,5.07085308813012
"631","HSL",6.303,1828,4.91235932432412
"632","RKL",46.97,0.0007331,10.6497540867051
"633","HSL",3.676,2886,7.26049673661619
"634","RKL",15.92,0.0004319,8.20333779686179
"635","HSL",5.911,1860,6.97071480677524
"636","RKL",13,0.0003309,5.78702153256339
"637","HSL",5.739,2492,5.92660886670778
"638","RKL",9.834,0.0002295,8.15139145939222
"639","HSL",4.629,2694,5.27632861491409
"640","RKL",11.47,0.0003375,4.50103535721193
"641","HSL",4.234,3813,6.48612641933842
"642","RKL",11.51,0.0002722,7.94301470789538
"643","HSL",4.572,2841,6.62556837391603
"644","RKL",13.34,0.000393,5.65775956345345
"645","HSL",5.374,2051,6.65484632639923
"646","RKL",14.05,0.0003419,4.92604860565991
"647","HSL",5.7,1806,6.04784629182723
"648","RKL",3.536,0.0001314,7.38012404616746
"649","HSL",4.455,2742,4.26401432711221
"650","RKL",11.4,0.0003154,7.36609528444719
"651","HSL",5.685,1936,8.2450570240422
"652","RKL",6.765,0.0002399,8.01926939764626
"653","HSL",5.875,1940,5.80258853185659
"654","RKL",14.49,0.0003642,6.1267885174484
"655","HSL",6.517,2292,8.17860820109531
"656","RKL",10.17,0.0002474,6.45094166430153
"657","HSL",4.22,4036,7.35214622093808
"658","RKL",19.43,0.0004145,8.83883476483184
"659","HSL",5.416,2116,6.17330997905994
"660","RKL",19.49,0.0004336,7.37009533648484
"661","HSL",7.591,2021,7.34025274393379
"662","RKL",12.79,0.000313,5.51821256520063
"663","HSL",3.092,3500,8.16496580927726
"664","RKL",9.073,0.0003141,6.25978857295168
"665","HSL",4.553,1934,5.29850126595781
"666","RKL",7.33,0.0001974,6.71004944989163
"667","HSL",5.547,2038,5.92141145374041
"668","RKL",10.45,0.0003077,6.39268073502623
"669","HSL",5.252,1960,4.70256406669971
"670","RKL",7.087,0.0002688,5.90693112458046
"671","HSL",2.733,4111,8.28741930164745
"672","RKL",7.912,0.0001718,7.49321235056855
"673","HSL",5.302,2531,5.17572275927721
"674","RKL",7.144,0.0006389,10.0155361308501
"675","HSL",3.759,4087,6.73893616768376
"676","RKL",10.73,0.0002554,6.06339062590832
"677","HSL",4.72,2416,7.19443078836193
"678","RKL",7.196,0.0002646,14.2220030997144
"679","HSL",4.878,1833,5.59104361257465
"680","RKL",14.85,0.0004226,6.66074863028796
"681","HSL",2.545,4044,8.48494198334692
"682","RKL",9.168,0.0002787,9.62696244572596
"683","HSL",6.491,1905,6.08806144979308
"684","RKL",2.686,5.707e-05,6.68451587308695
"685","HSL",5.333,2541,5.36750791053835
"686","RKL",20.24,0.0004996,7.07992325404789
"687","HSL",5.623,2656,10.3594964744076
"688","RKL",9.422,0.0002648,8.29026672289678
"689","HSL",5.463,2357,5.91519257074994
"690","RKL",6.047,0.00022,9.22924025252575
"691","HSL",3.912,3208,5.08986598559288
"692","RKL",10.87,0.0003578,8.23945766378752
"693","HSL",5.348,3199,5.63257386324166
"694","RKL",5.465,0.0001771,6.59237176540157
"695","HSL",6.764,2133,7.32252025938212
"696","RKL",14.57,0.0003726,6.85349608904501
"697","HSL",6.671,1883,7.43088901414799
"698","RKL",9.258,0.0003162,7.34619226162359
"699","HSL",4.335,2096,4.487871088652
"700","RKL",13.22,0.0003098,5.57537995766796
"701","HSL",5.103,2490,8.69072499313748
"702","RKL",3.89,0.0001941,8.44852575527498
"703","HSL",5.819,1876,4.98568669662842
"704","RKL",25.45,0.0004775,9.67641249645229
"705","HSL",3.607,3525,5.63973543493677
"706","RKL",8.43,0.0003174,6.56249359131798
"707","HSL",3.88,2916,5.28442622899339
"708","RKL",8.482,0.0002675,7.99360766977432
"709","HSL",7.678,1829,5.52663346520882
"710","RKL",21.45,0.0004211,8.07134312271262
"711","HSL",4.267,2541,3.48599266401504
"712","RKL",16.49,0.0004325,6.22211160788798
"713","HSL",4.673,2248,5.75625973843048
"714","RKL",13.98,0.000343,4.23865821927415
"715","HSL",6.38,1951,5.45625925966346
"716","RKL",12.79,0.000352,7.12289738617814
"717","HSL",3.61,3581,6.4998131330586
"718","RKL",3.257,0.0001358,9.99500374687773
"719","HSL",3.465,3616,8.35949770959199
"720","RKL",7.663,0.0002724,5.93704488265565
"721","HSL",6.821,2196,5.24070435607291
"722","RKL",9.613,0.000256,7.83500824537114
"723","HSL",4.684,1831,10.6831266138658
"724","RKL",9.961,0.0002848,5.93390829096927
"725","HSL",4.053,2680,5.35287727572189
"726","RKL",11.23,0.0004031,6.62120992478266
"727","HSL",4.503,1846,8.25910552123619
"728","RKL",7.198,0.0002707,5.80943871043265
"729","HSL",8.631,1914,9.77764258167923
"730","RKL",34.36,0.0005956,8.69072499313748
"731","HSL",5.181,2584,6.28198210215593
"732","RKL",6.021,0.0001662,7.85431821488056
"733","HSL",5.22,3051,5.60243871210679
"734","RKL",20.78,0.0004738,7.02901946394417
"735","HSL",6.072,2235,7.0675349274022
"736","RKL",14.77,0.0003412,6.54700436695157
"737","HSL",5.13,2235,6.23904255512583
"738","RKL",14.53,0.0003661,8.7908903249211
"739","HSL",3.493,3794,9.06845312637514
"740","RKL",12.62,0.0005214,8.17587425209661
"741","HSL",5.315,2152,6.65190105237739
"742","RKL",33.71,0.0008745,13.4717557603598
"743","HSL",4.788,2545,7.41453040539253
"744","RKL",11.97,0.0003321,5.30595449972511
"745","HSL",2.353,4099,6.59380473395787
"746","RKL",9.63,0.0003076,7.69230769230769
"747","HSL",3.655,2511,6.1267885174484
"748","RKL",10.74,0.0003314,8.09245851032446
"749","HSL",6.282,2002,6.1267885174484
"750","RKL",13.48,0.0002982,5.89460360270973
"751","HSL",4.814,1953,6.6168600656086
"752","RKL",12.26,0.0003615,6.10961217718281
"753","HSL",4.821,3035,7.53778361444409
"754","RKL",8.795,0.0002821,5.07281006501708
"755","HSL",5.905,2279,6.93375245281536
"756","RKL",15.01,0.0004321,6.71761518625574
"757","HSL",4.135,2367,5.35441171097649
"758","RKL",14.55,0.0004896,6.08355344365861
"759","HSL",6.07,2649,6.33851542732355
"760","RKL",14.46,0.000346,6.09824121594532
"761","HSL",2.73,3221,7.70828816771467
"762","RKL",12.45,0.0002955,5.21782531921128
"763","HSL",3.126,3330,5.98362726130994
"764","RKL",9.194,0.0002733,8.98026510133874
"765","HSL",5.546,1909,4.54686391592264
"766","RKL",9.992,0.0003164,4.35400344184108
"767","HSL",5.615,1900,5.04369107289183
"768","RKL",5.374,0.0001641,6.46035812049728
"769","HSL",3.528,3095,7.47853004494263
"770","RKL",16.95,0.0004113,5.68053463163406
"771","HSL",5.939,2128,7.93051585718144
"772","RKL",6.497,0.0002381,9.88694647780276
"773","HSL",4.305,2506,6.04453088931668
"774","RKL",8.317,0.0002572,8.50025501147557
"775","HSL",3.714,2545,6.40315625329416
"776","RKL",9.978,0.0003625,7.31663792859524
"777","HSL",6.198,2065,4.09238481390512
"778","RKL",17.55,0.0004334,9.10597274513588
"779","HSL",3.119,2632,9.73123680201904
"780","RKL",7.256,0.0003073,7.62271293369326
"781","HSL",5.47,2099,4.20331351709199
"782","RKL",7.329,0.0001991,5.59366707887022
"783","HSL",4.279,2410,6.48339943733042
"784","RKL",18.91,0.0004001,8.53423763113301
"785","HSL",3.648,2916,7.56361276020065
"786","RKL",10.77,0.0003191,5.27266016657037
"787","HSL",4.537,2995,7.23196067675465
"788","RKL",7.764,0.0002818,5.61390376986873
"789","HSL",6.166,2006,7.06400733300854
"790","RKL",13.59,0.0003412,4.68292905790847
"791","HSL",2.609,3416,7.77557021319119
"792","RKL",10.26,0.0002539,5.47339553821895
"793","HSL",3.384,3924,7.91063984633816
"794","RKL",7.472,0.0002321,5.70173244951723
"795","HSL",7.916,2010,9.13251529954446
"796","RKL",5.447,0.0002292,7.98595706249925
"797","HSL",3.995,3870,6.55684843449574
"798","RKL",20.38,0.0004204,6.47931540578353
"799","HSL",5.774,1959,5.04240850680043
"800","RKL",10.19,0.0003175,4.69426663797447
"801","HSL",4.262,2715,5.74674682540455
"802","RKL",22.87,0.0005897,6.87776778379407
"803","HSL",5.703,1933,6.96563965880955
"804","RKL",13.64,0.0003435,6.23540286056904
"805","HSL",6.345,1858,4.98940874768556
"806","RKL",6.432,0.000184,5.21286035142687
"807","HSL",5.165,2888,5.44977336226285
"808","RKL",12.51,0.0002852,5.6897219813727
"809","HSL",4.188,2366,5.72035952445344
"810","RKL",6.658,0.0002397,5.71848859733081
"811","HSL",6.317,1874,7.65390803073442
"812","RKL",7.975,0.000276,6.6995002359229
"813","HSL",3.227,2986,8.34202747584746
"814","RKL",8.132,0.000253,6.12219399972876
"815","HSL",3.926,2717,6.07456739230787
"816","RKL",13.35,0.0003891,6.37058989297032
"817","HSL",5.003,2331,10.2200563044893
"818","RKL",10.15,0.0002923,8.98388836761542
"819","HSL",3.975,3051,6.62411460135352
"820","RKL",11.52,0.0003055,6.96057557987131
"821","HSL",4.062,2478,6.1957821080879
"822","RKL",6.58,0.0002317,5.73633690082929
"823","HSL",6.896,1865,7.80393104976436
"824","RKL",15.63,0.0003471,5.19594458907966
"825","HSL",5.279,2465,7.20002304011059
"826","RKL",7.811,0.0001887,6.72672793996312
"827","HSL",5.475,2239,7.48062223411349
"828","RKL",10.83,0.0002882,6.65337320046499
"829","HSL",5.289,2193,7.70599914370942
"830","RKL",7.786,0.0002339,7.6116639165307
"831","HSL",6.014,1806,7.76852818589307
"832","RKL",12.25,0.0003933,10.4020040351046
"833","HSL",6.121,1849,7.9910550247564
"834","RKL",4.406,0.0001319,6.74199862463242
"835","HSL",6.533,1943,6.37836048731196
"836","RKL",10.84,0.0004267,6.81994339470473
"837","HSL",5.034,2541,6.81835791441022
"838","RKL",15.38,0.0003567,5.91933631386461
"839","HSL",5.742,1983,4.6210207760868
"840","RKL",10.2,0.0003041,8.76047777444422
"841","HSL",5.533,2095,7.9987203071181
"842","RKL",5.895,0.000179,6.41236470053221
"843","HSL",6.375,1965,7.37610765183126
"844","RKL",13.24,0.000353,5.5771138653316
"845","HSL",4.962,1932,5.79284446363492
"846","RKL",12.08,0.0003608,6.50256088762355
"847","HSL",5.359,2229,5.83013573297002
"848","RKL",9.309,0.0002772,6.25122106086932
"849","HSL",3.389,2798,6.02256667827506
"850","RKL",9.198,0.0002765,4.95013111833452
"851","HSL",3.175,3827,6.76200688277983
"852","RKL",11.36,0.0003268,6.20292971528072
"853","HSL",5.187,1850,6.05005959338049
"854","RKL",4.74,0.0001521,6.6081860045509
"855","HSL",6.816,1950,7.9555728417573
"856","RKL",7.386,0.0001815,6.37447163795911
"857","HSL",4.521,2544,6.04563541758343
"858","RKL",10.34,0.0002538,5.86714648848857
"859","HSL",3.757,3744,7.83741420527596
"860","RKL",3.938,0.0001267,5.60068108423228
"861","HSL",2.951,4089,5.08459969759649
"862","RKL",4.149,0.0001684,7.97325472097299
"863","HSL",4.539,2389,4.55298637256794
"864","RKL",15.94,0.0004021,9.24500327042048
"865","HSL",4.014,2290,7.03597544730292
"866","RKL",12.63,0.0002906,5.98362726130994
"867","HSL",4.037,2286,5.77735554697431
"868","RKL",23.16,0.0004605,9.63142660661774
"869","HSL",4.386,2303,12.5510928084701
"870","RKL",12.24,0.0003155,4.69116640650501
"871","HSL",5.265,2227,5.0767308256681
"872","RKL",14.25,0.0003329,4.43590942249333
"873","HSL",5.426,2190,5.93704488265565
"874","RKL",11.56,0.0003477,6.03791640888643
"875","HSL",5.359,2255,4.72244814721371
"876","RKL",7.85,0.000191,6.89737191225097
"877","HSL",5.325,2487,5.69895405296656
"878","RKL",16.35,0.0003687,6.83107281200758
"879","HSL",5.311,2388,5.40264362004663
"880","RKL",16.78,0.0005026,11.1684796752381
"881","RKL",8.806,0.0002615,4.78913142610576
"882","HSL",4.305,1944,7.25858381424427
"883","RKL",19.62,0.0006214,8.98026510133874
"884","HSL",4.291,1965,5.56070674401088
"885","RKL",11.41,0.0002859,8.25347751000597
"886","HSL",4.586,2541,5.67047977123743
"887","RKL",10.84,0.0003337,7.2855031578656
"888","HSL",6.449,2792,7.65615093423479
"889","RKL",8.937,0.0002434,5.9686868453322
"890","HSL",7.141,1831,5.72410689434403
"891","RKL",5.336,0.0001572,5.82025246474648
"892","HSL",6.388,1942,5.82815505150196
"893","RKL",9.041,0.0003009,8.94427190999916
"894","HSL",2.993,3401,7.2528541063542
"895","RKL",9.335,0.0003426,9.47452409476392
"896","HSL",4.745,2482,8.09776330178916
"897","RKL",12.42,0.0003443,4.62151423764793
"898","HSL",3.617,2739,7.43910902663264
"899","RKL",9.368,0.00034,6.27702980962258
"900","HSL",6.329,2244,8.56863110772109
"901","RKL",15.96,0.0004416,7.88845698334572
"902","HSL",6.94,2199,9.80109582377307
"903","RKL",9.025,0.0002736,7.04994959304061
"904","HSL",5.365,2146,5.97187894120813
"905","RKL",17.14,0.0004214,7.57011164104465
"906","HSL",4.053,1856,7.44942250590448
"907","RKL",10.55,0.0002718,5.56328771734271
"908","HSL",5.541,2089,5.12584663552775
"909","RKL",4.041,0.0001481,11.3827608865496
"910","HSL",7.446,1944,8.24786098842323
"911","RKL",10.71,0.0003244,9.18243061724248
"912","HSL",4.437,2754,7.26432712292148
"913","RKL",12.79,0.0003559,5.260244438718
"914","HSL",3.001,3638,6.2005444317027
"915","RKL",17.79,0.0004228,7.31663792859524
"916","HSL",5.536,2227,6.79470762492529
"917","RKL",8.52,0.0002158,5.07542289550967
"918","HSL",2.84,2967,7.46185548674875
"919","RKL",12.08,0.0002904,3.99648463959576
"920","HSL",4.997,1873,8.3712056953149
"921","RKL",9.834,0.0003069,6.77596356818118
"922","HSL",4.445,1972,5.22422974410716
"923","RKL",10.22,0.0002828,7.84947734032832
"924","HSL",5.286,1886,5.18754822821162
"925","RKL",5.149,0.0001842,6.23176952849756
"926","HSL",5.134,2067,5.75149738158109
"927","RKL",11.18,0.0003644,5.99652302467629
"928","HSL",5.782,2173,5.18058226800174
"929","RKL",10.71,0.00027,7.42474185549421
"930","HSL",5.05,2251,5.7288014796442
"931","RKL",6.49,0.0002506,3.82499384415549
"932","HSL",4.623,2643,6.49022335189938
"933","RKL",6.598,0.0001809,5.45058283473107
"934","HSL",4.597,2474,5.48326048260926
"935","RKL",18.08,0.0005655,8.53113144808885
"936","HSL",5.178,2273,5.24070435607291
"937","RKL",14.53,0.0003848,5.98041629930715
"938","HSL",6.006,1951,4.48832310769819
"939","RKL",31.6,0.0006231,8.74371770978336
"940","HSL",4.247,3284,7.80630848502127
"941","RKL",17.43,0.0004777,7.03075652549643
"942","HSL",4.698,2702,6.4711704429085
"943","RKL",8.666,0.000209,5.78799080173233
"944","HSL",2.531,3479,10.2689756658272
"945","RKL",5.556,0.0001414,7.1156806696482
"946","HSL",4.262,2518,8.49718577324175
"947","RKL",12.53,0.0003048,6.26962328219399
"948","HSL",2.741,2837,6.23419104385162
"949","RKL",6.884,0.000241,6.60530222260927
"950","HSL",3.552,3846,8.78410461157883
"951","RKL",17.45,0.0003884,5.26242907691229
"952","HSL",6.015,2436,9.07218423253029
"953","RKL",5.214,0.0001362,5.67504353839166
"954","HSL",2.317,2898,8.26474506134108
"955","RKL",18.23,0.00038,10.6431170335717
"956","HSL",3.208,2559,6.89245516795578
"957","RKL",24.55,0.0005468,6.33469896008704
"958","HSL",5.412,2196,5.47339553821895
"959","RKL",13.44,0.0004427,10.6691327067787
"960","HSL",5.161,2153,5.01317690682971
"961","RKL",31.41,0.0007225,6.74199862463242
"962","HSL",4.472,2678,8.3712056953149
"963","RKL",16.3,0.0004456,6.34361479695551
"964","HSL",5.426,1849,5.57105225387396
"965","RKL",5.937,0.0001688,8.8631030369636
"966","HSL",5.212,2169,6.81677353936515
"967","RKL",14.94,0.0004617,6.20292971528072
"968","HSL",5.087,2288,5.68512273886102
"969","RKL",11.55,0.0004504,6.93042132004909
"970","HSL",2.979,2275,7.26432712292148
"971","RKL",8.654,0.0002216,7.18513925563523
"972","HSL",6.348,1947,7.28743744786593
"973","RKL",15.02,0.0003652,5.84705346204686
"974","HSL",7.026,2177,7.97072151845601
"975","RKL",3.636,4.4e-05,7.67642619657375
"976","HSL",4.375,2331,5.65414091289876
"977","RKL",9.891,0.0002587,10.0075084480607
"978","HSL",4.492,2514,8.1923192051904
"979","RKL",15.65,0.0004274,5.70451491366797
"980","HSL",5.118,2288,4.51293682406524
"981","RKL",19.52,0.0004611,6.046740551569
"982","HSL",3.315,3611,8.23666225822317
"983","RKL",21.45,0.0005451,8.304547985374
"984","HSL",3.889,3256,9.04616275314925
"985","RKL",5.636,0.0001406,6.4202893561212
"986","HSL",5.398,1818,4.77491545490171
"987","RKL",21.91,0.0004065,7.17588362992579
"988","HSL",4.977,2101,8.16496580927726
"989","RKL",7.83,0.0002102,8.30741310465378
"990","HSL",5.842,2264,9.30484210398471
"991","RKL",15.37,0.0003697,6.02475233128778
"992","HSL",3.135,3394,8.03738036950687
"993","RKL",14.83,0.0004426,6.43489452087787
"994","HSL",5.754,2038,6.17330997905994
"995","RKL",13.5,0.0003834,5.30446133675767
"996","HSL",3.673,2863,7.47226399437034
"997","RKL",8.572,0.0002737,5.99760143904067
"998","HSL",3.557,2187,6.10961217718281
"999","RKL",12.99,0.0003356,5.10243929393017
"1000","HSL",4.581,1944,6.74046687438554
